"Date: 2023-04-01+0000"
"Version: 7.1"
"Status: 
0 Normal

中午：由于没有带饭，打算去食堂。一开始去食堂二楼，但是看到那位熟悉的结账阿姨，有点担心自己的学生卡造假被识破，于是去了一楼买了个Fr7.9的素墨西哥卷，心里还是有点心疼的。

下午：主要是写coding，主要还是想吧mandelbrot给remap到形体上，到了晚上基本上做成了。

晚上：不得不说，Luka晚上的讲座还是很有内容而且对我来说很有收获的。首先是关于NFT和Web3.0的内容，我还是在想他的市场和起因，虽然听完讲座还是不怎么懂为什么要做这些，但还是值得了解。他做的generative art也很有趣。晚上房议坤来苏黎世，参加了讲座后的酒会。今晚本来打算早点回去的，但发现并不很饿而且沉迷代码无法自拔，于是一口气又弄到了九点多。一看谷歌地图，车反正要十点多才来，就又待到了十点多。所幸今晚没有错过站，但回来也很晚了。今晚好好做了葱油鸡和花菜，明天应该能吃好了。当然，明天也是计划很晚回来。愿：明天coding有惊艳突破！goodnight","N","","","","","0","0","2022-10-19T22:20:07+0000","","-4398046511120","Europe/Zurich","false","false",,,"list","164",""
"","日记","10月18日 周二 晴 苏黎世","NOTE","","上午：每天都好充实…并且累。上午主要是Wen的课。现在大家都不太喜欢Wen的作风和讲课很不清楚的传授方式。我倒是无所谓，主要就是在做mandelbrot。上午大家讨论的时候我看到Yuki和abhipsa拿出来的东西有点头疼，心想会很难合到一起。

中午：自己做的葱油鸡味道还是很不错的！

下午：mandelbrot基本做出来并且能够通过marching cubes在rhino上显示了！下午为了让mandelbrot封面，在数学上弄了好久。

晚上：晚上做个人网站，已经成功挂载在GitHub上，基本上个人网站成型了。晚上去asvz运动，最后和Ahmed他们的有氧运动感觉很有氛围很好玩。被asvz的人赶出来后，一路上感觉自己脑子坏了似的，今天搭错了三次公车。一开始搭80结果因为跟Ahmed发消息，坐过了站，下车往回走没想到还碰到了Ahmed骑单车。好不容易走到了原来的站，因为61要等太久结果第一次坐上了62。上62也就罢了，自以为是的以为62终点站就是Affoltern，其实是Affoltern后面两站。好嘛在终点站下车走到Affoltern等61，没想到等错了站，眼睁睁看61在斜对面停靠开走，只能一个人孤单单的走回来了。到家已经很晚了，洗完澡也到十二点多了，今晚做饭的计划都取消了。赶紧睡觉吧，明天吧脑子捡回来。愿：以后少做错站！goodnight","N","","","","","0","0","2022-10-18T22:22:19+0000","","-4123168604176","Europe/Zurich","false","false",,,"list","165",""
"","日记","10月17日 周一 晴 苏黎世","NOTE","","上午：不知不觉都17日了！意味着来苏黎世已经快两个月了。每天都这么充实的过着，感觉时间真的好快。今天上午一如既往的上tutorial，而我主要在下面折腾自己的VSCode。

中午：自己做的饭，有难吃的爆炒毛肚（不知道为啥其他人吃了都觉得不错），有炒白菜，还有意大利面。中午因为没吃饱还加餐了一个可颂。

下午：主要是上课，上完就以小组讨论为名义在聊天。mandelbrot的问题一直还没解决，Debug发现居然是java的sin和pythr的sin计算值不一样…一时间不知道该如何解决。

晚上：晚上厉害了，由于连锻炼都省了，今天之间疯狂做html和css直到十点多，基本上已经能通过python改html并且插入自定义风格。个人网站进度达到约70%。深夜回来自己还做了葱油鸡，希望他是好吃的吧。愿：明天继续加油！goodnight","N","","","","","0","0","2022-10-17T22:14:36+0000","","-3848290697232","Europe/Zurich","false","false",,,"list","166",""
"","日记","10月16日 周日 晴 苏黎世","NOTE","","上午：充实且快乐的一天！今天起的还不算晚，早饭吃的是碱水配花生酱，感觉还挺好吃。上午主要是跟小陈视频还有做个人网站的事情。很久没有这么轻松散漫的时间了，感觉慢下来真不错。

中午：午饭一开始有点头疼做啥，最终做了炸蛋、葱油面和一点蔬菜。炸蛋失败但葱油面味道不错。

下午：一点就集合准备去hiking了！虽然晚到了点，但是hiking感觉还是很不错！在半山腰上我们一起吃零食，并且爬上了山顶的铁塔。回来比较疲劳，但是瑞士乡村的风景还是很不错的，有牛有羊！

晚上：回来没有正经吃晚饭，太多事情要做了。跑步突破了6分钟/公里瓶颈，而且感觉很有劲能跑更快。回来后洗澡、洗衣服、处理鸡肉、吃碱水配香蕉和花生酱。不知不觉就到十一点多了。稍微学习了下就要睡啦。愿：明天也开心！goodnight","N","","","","","0","0","2022-10-16T22:22:18+0000","","-3573412790288","Europe/Berlin","true","false",,,"list","167",""
"","日记","10月15日 周六 晴 苏黎世","NOTE","","上午：今天天气很好，但是昨晚回来太晚了所以今天十点多才醒。醒来还是照旧在周六采购，首先是去土超买了一堆蔬菜还有杂货。为了省钱，这次没狠下心来买牛肉，而是买的香肠和牛肚。没想到这里的牛肚是白色的而且并不好吃。

中午：自己做牛肚和白菜，白菜好吃牛肚不好吃。

下午：做完饭吃完饭就已经两三点了。下午约了Joe去看DFAB house，看着的确不错，empa也花了不少钱在上面。由于不能进去，看完本想去UZH图书馆的，无奈已经下午要关门了。下午又去了AsianWay，Lidi和Coop买吃的，周末打折所以花的钱不多，不过花生酱牛奶漂白剂什么的都买上了真好。

晚上：回来已经很累了，但幸亏波波做了饭菜，我又白蹭了一次饭吃。吃饱了感觉人很懒，睡了一下，也没有做运动也没有洗衣服，洗个澡到了十点多就开始做个人网站。虽然我的电脑终端老是自动退出没有修好，但python正则表达式很好用，我感觉网站很快就能做好了！愿：明天hiking玩得开心！goodnight","N","","","","","0","0","2022-10-15T22:29:32+0000","","-3298534883344","Europe/Zurich","false","false",,,"list","168",""
"","日记","10月14日 周五 阴转中雨 苏黎世","NOTE","","上午：今天又是饱和值冲顶的一天。由于今天的主要安排是小组协作，没有课，大家普遍来得比较晚。而我因为8：50就到了学校，甚至被锁在了外面。上午我主要还是在看mandelbrot的教程，练习怎么在Rhino中显示出来。其中自己有尝试写python库，因为是第一次，出现了很多错误。

中午：自己做的便当，吃饭的时候跟Joe聊到周末的安排，希望周末能一起附近玩玩吧。

下午：下午除了mandelbrot就是研究Ray Tracing/Marching了，不过收效甚微。下午跟Ioanna的讨论非常完全，显然Ioanna也对我的热情感到非常惊讶。他知道我更喜欢Csharp也觉得可以十分理解。讨论中我们谈到了一些渲染的内容，感觉很酷。希望未来有能跟她合作的机会。

晚上：吃完自己的便当晚饭就开始做html/css了。现在我已经用工具成功从公众号扒取了历史推文，并且想到了用python脚本来定义一些html而不是一个一个自己写。这其实是很大的进展，我感觉我的个人网站已经搭建成功一半多了，近在咫尺。晚上大约九点路蕴迪打电话邀请我来costume party，而且Jerry,Kevin和铭哥都在那边，所以我还是打算去了。于是去ASVZ仓促的卧推了大约6组（60kg和50kg）就准备过来了。一开始碰到的熟人不多，后面Edison, Benja他们都过来了就聊开了。晚上2点多，打着伞背着重重的电脑、饭盒什么的又回了家。愿：周末有趣！goodnight","N","","","","","0","0","2022-10-15T00:41:36+0000","","-3023656976400","Europe/Zurich","false","false",,,"list","169",""
"","日记","10月13日 周四 阴转小雨 苏黎世","NOTE","","上午：今天又是充实的一天！上午Ioanna讲的implicit modeling非常吸引我，这种建模的方式虽然没有网格建模那样直观好理解，但是能突破很多网格建模的局限！现在我对ray tracing、ray marching和mandelbrot等概念很着迷！

中午：自己做的饭，这里的猪肉果然难吃。

下午：下午花了很多时间用processing学Mandelbrot，等到想学ray marching的时候已经要五点了。

晚上：晚餐热自己的便当，晚上一直在学html和css。markdown转html的样式终于搞定了！晚上还去了ASVZ强化肩部。在健身房一如既往的看到了Jan，健身完后一路上聊到他的工作经历，谈到在BIG工作就像廉价劳动力，一个月平均每天工作20小时有时候还通宵。虽然之后他在Denmark的工作独立很好，公司给实习生配带鱼屏、朝九晚五、周五免费食物饮料，但他还是比较希望转行。他形容说，BIG更像“美国大公司”而Shnotta则在刻意让自己的体量变小。跟他聊这些，我甚至主动放弃上一辆巴士而等下一辆，结果回来已经快十二点了，但还是做了明天的午餐晚餐并洗了澡！后果就是今天睡觉时间晚了20分钟。赶紧去睡啦！愿：明天学习收获更多！goodnight","N","","","","","0","0","2022-10-13T22:35:22+0000","","-2748779069456","Europe/Zurich","false","false",,,"list","170",""
"","日记","10月12日 周三 晴 苏黎世","NOTE","","上午：到了学校Wen一直不上课，十点才开始讲东西，大家都感觉十分疑惑。简单讲几句后就开始讨论了。我倒是无所谓，她没开课我就一直在看html的东西。

中午：自己带的便当，胡萝卜丝炒蛋还挺好吃。

下午：下午主要是小组讨论，但大家都问我怎么配置VSCode，于是我就花了几分钟时间分享自己的Coding工作流。结果分享变成了挨个单独辅导，主要是每个人的电脑不一样，配置过程也比较繁琐，而且一次配置以后都能用。我自己也没想到配置过程会有这么多意想不到的麻烦。不过幸亏大家的VSCode都算勉强配置好了，我没有出太大洋相。

晚上：做饭，把明天的午餐晚餐也做了，明天吃胡萝卜炒肉、葱煎蛋和番茄意面。猪肉显然是没国内好吃的，炒的时候我已经有点嫌弃他了。今晚的晚餐也不错，做了葱油面和蛋汤。晚上做了腹部训练，学了html。愿：明天好心情！goodnight","N","","","","","0","0","2022-10-12T22:11:12+0000","","-2473901162512","Europe/Zurich","false","false",,,"list","171",""
"","日记","10月11日 周二 晴 苏黎世","NOTE","","上午：充实的一天。早上到学校就开始上课。Loanna讲的很好而且热心回答所有问题。12点Benjamin终于来讲座了，我们等了一个月。大家的交流很好，有很多问答。

中午：自已做的菜。

下午：Wen教的关于Mola的课。其实她没有讲的很清楚，给我们的感觉也是她对算法框架和Mola库的了解都不是很深入。晚上运动回来我跟Jan聊天也讲到了这个，Jan也觉得他更喜欢Simon和Eleni。并且他有一次问Wen问题反倒被她略带讥讽的取笑，让他有点不适。

晚上：充实的晚上，吃完自己带的晚饭就在教室学html。Markdown转译html的内容已经完成了将近50%。回来前去了ASVZ练胸部，回来后还做了明天午饭。愿：明天不那么困！goodnight","N","","","","","0","0","2022-10-11T22:07:55+0000","","-2199023255568","Europe/Zurich","false","false",,,"list","172",""
"","日记","10月10日 周一 晴 苏黎世","NOTE","","上午：不错的晴天，上午来早了二十分钟。这周的主题是GenerativeCity，说白了就是玩Python的Mesh生成。上午不知道为什么，脑袋昏昏有点困，明明病基本上已经好了。

中午：去食堂吃饭，结账处的阿姨比较执着于确定我卡上有没有“S”标志，导致这次吃饭没用上学生优惠，花了10Fr。

下午：还是很困，整个人宛如在梦境中。但在展示上周的Drawing的时候，反倒也没那么紧张了。我这次制作的工具头是我的第一次，给大家留下了很深的印象，Fabio也表示做得很不错。带病上课，努力总算有回报的。

晚上：大家讲完自己的Drawing后就在桥上吃东西聊天，Petrus讲到非欧盟人在瑞士当建筑师基本不可能。六点多聊完回家，我回来倒头就睡，到了八点多才起来做饭，吃完晚饭也做完了明天的饭菜，运动，洗澡，不知不觉也十一点了。学了一会儿html和css，准备睡啦！愿：明天状态Max！goodnight","N","","","","","0","0","2022-10-10T22:00:10+0000","","-1924145348624","Europe/Zurich","false","false",,,"list","173",""
"","日记","10月09日 周日 阴 苏黎世","NOTE","","上午：爬山，爬到山上Yuki在画水彩我们三位男生在聊天。Kevin的薯片很好吃，同行的银行工作大哥很厉害，不过风景和遗迹的确一般。

中午：没有正经吃饭，只吃了点剩菜，结果下午有点饿。

下午：赶到学校后由于Su在那边守着，于是我去ASVZ抽空锻炼了一下上臂。每次锻炼完感觉都很好，并且觉得自己在恢复。下午主要守着机械臂画图。

晚上：本来想用白板画图，时间不够遂打消念头。工具头也3D打印好了，还没组装完毕就赶10点多的车回来了。回来感觉小累，但相比生病的累这都不算啥。愿：明天病好全！goodnight","N","","","","","0","0","2022-10-09T22:13:52+0000","","-1649267441680","Europe/Zurich","false","false",,,"list","174",""
"","日记","10月08日 周六 小雨转阴 苏黎世","NOTE","","上午：起来得比较晚，不过鉴于自己是病号，就没有很自责了。吃早饭后就跟小陈视频，之后学联信息部开会，就到十二点了。

中午：因为早饭吃得晚，中午其实没有好好吃饭。中午趴了一下就准备去HB交易二手饭盒了。第一位卖家我拖了一个礼拜现在才约她，而且晚到了十分钟让她错过了车，没想到她人很好没说什么。第二位卖家则让我白白等了一小时，而且主动连下个站台碰面都不。

下午：拿完二手物品的路上还碰到了Isabel。回来已经是四点多了。发现食物很快要变质于是自己做了起来，晚上叫了吴涵硕，刘子怡和波波一起吃的。

晚上：洗碗，运动，洗澡。晚上好好学了好一会儿html和css。发现运动后生病的痕迹几乎为零，明天或有痊愈希望。网页建设的进度也很不错。愿：明天痊愈！goodnight","N","","","","","0","0","2022-10-08T21:52:48+0000","","-1374389534736","Europe/Berlin","true","false",,,"list","175",""
"","日记","10月07日 周五 晴 苏黎世","NOTE","","上午：病好了九成但也不算好。上午还是照常练习机械臂。

中午：去学校食堂吃了7.5Fr的午餐，有大肉肠有蔬菜土豆，也算是实惠了。

下午：我设计的3D打印工具头一直用不了，这已经是第三次打印了。Adam也在想办法设计算法让画出来的图形更有趣。但其中问题和困难的确不少。这应该是最后一个机械臂练习日了。

晚上：晚上突然想吃Coop烤鸡，心想生病了应该对自己好一点，就去买了一只。不过半只烤鸡配半便当盒米饭，实在太多了，无奈造成了来苏黎世的第一次食物浪费。不过没有浪费很多。晚上洗完澡后状态明显好了很多。原：明天痊愈！ goodnight","N","","","","","0","0","2022-10-07T21:34:05+0000","","-1099511627792","Europe/Berlin","true","false",,,"list","176",""
"","日记","10月06日 周四 晴 苏黎世","NOTE","","上午：病好了七成但没完全好。上午还是照常练习机械臂。

中午：NCCR on board lunch，白嫖很多披萨。不过没有怎么社交，大多数时间都是在跟同学聊天。

下午：下午两点多的时候到广场的台阶上还是趴了一下，这几天状态不好到Joe直接问我，你今天看起来不开心。我真希望自己赶紧好起来不要浪费时间。下午五点，拒绝了Yuki一起吃饭的邀请，独自回来了。

晚上：热了点米饭，食量是昨晚的一倍，但还是只吃了平常七成的量。买了橙子补充维C。吃完就睡觉，睡到十一点多后，出去跑了将近六公里。今天吃了阿莫西林，连花清瘟和感冒灵颗粒。愿：病快好起来！goodnight","N","","","","","0","0","2022-10-06T22:08:55+0000","","-824633720848","Europe/Zurich","false","false",,,"list","177",""
"","日记","10月06日 周三 晴 苏黎世","NOTE","","上午：今天生病了。早上一起来就感觉头晕喉干，测了核酸但发现不是新冠。昨晚明明还生龙活虎，打算今天一直待到晚上去健身。我甚至都不知道什么原因，因为昨晚并没有着凉，而且Jerry之前也有感冒，只能怀疑是流感病毒。上午的课听得迷迷糊糊，幸亏Robotic Dancing不算特别的难，掌握住电脑和机械臂的数据传输就行。

中午：吃自己做的面，吃饭的时候不爱说话。吃完之后罕见的在桌子上趴了一下睡午觉，居然也真的睡着了。

下午：下午精神越来越差，在练习机械臂的时候，Su直接问我：你还好吗？今天看起来frustrating。我感觉好惭愧，好几个人都说我今天状态不好。Adam说他经常带头疼药，因为之前受过创伤，几乎三个月连电视都看不了，而且记不住别人名字。不过他不说我现在是不会觉得他有什么创伤的。Joe手抖的创伤更加明显一点。

晚上：比较早就离开了教室，去lidi买了玉米片，并且第一次买到了猪肉。回来后倒头就睡，连上厕所都很挣扎。本来说去跑个步的，结果睡到了十一点。不过根据之前的经验，发汗只对风寒感冒比较有效，我这次要么就是流感要么就是风热，不跑也罢。挣扎起来吃了一个香蕉又睡，又挣扎起来热了两口米饭。现在洗完澡我已经好很多了。愿：明天痊愈！goodnight","N","","","","","0","0","2022-10-05T22:20:20+0000","","-549755813904","Europe/Zurich","false","false",,,"list","178",""
"","日记","10月04日 周二 晴 苏黎世","NOTE","","上午：苏黎世移民局办理生物指纹，罕见的一次排队前面只有三位。很快就完成了。然后回到学校学RoboticDancing。

中午：比较幸运的吃到了7元的食堂午餐。当然，是谎称自己是学生卡才吃到的。

下午：RoboticDancing，第一次真正意义上的学习机械臂运动。不过我很快就失去了在机械臂的迟钝电容屏上HardCode，转而在做形体企图3D打印一些东西。最终打印了三个球（之前斯图的算法）和PenHolder，一共8小时，明天看看打印效果如何。

晚上：最终还是决定让Brian离开了，我能帮他的只有这么多。一路送他到Orlikon，其实肚子已经饿到不行。然后碰到刘子涵还了300Fr。回来后做了明天一整天的食物，彻底的打扫了房间，这才算真正安静下来。玩会手机已经到了十一二点。

goodnight","N","","","","","0","0","2022-10-04T21:59:17+0000","","-274877906960","Europe/Berlin","true","false",,,"list","179",""
"","日记","10月04日 周一 晴 苏黎世","NOTE","","上午：从慕尼黑的梦幻中强行挣脱，早餐吃了个廉价曲奇就去上课。一开始十分慌张，因为Computational Art 并没有做得很好。但上台大家都很期待我的作品和诠释，似懂非懂的为我鼓掌。NCCR director Dr. Loveridge的演讲令人印象深刻。学术成果到行业效益的转型、AEC的重要性、Prefabrication和Construction两大目标、智能化建筑建造的动机和愿景，这些都与我的想法不谋而合、让我一次次庆幸来对了地方。在接着交代完Social Media Guide后，我终于能考虑发一些内容给朋友们。

中午：Lecture直到一点，中午吃了个便宜的饼（也不便宜，6.8Fr）后就准备下午的3D Printing课。

下午：很显然，Carl等人虽然Computation方面没那么强，但3D Printing的经历却十分强悍。两种材料同时打印的技术让人记忆犹新。下午的课冗长而且不清晰，很多东西需要实践才能真正弄懂。不过PrusaSlicer软件的确是在尝试把复杂的3D Printing程序简单直观的展示给用户，体验远远好于AutoDesk的任何软件。

晚上：极度纠结中还是跟Brian说他得离开。晚上我去Coop买了打折的鸡蛋、胡萝卜、香肠做了顿饭。期间跟Brian简要的聊了聊人生苦长。他很不容易，即使找到了11月的房子，租金都高达1200Fr，但我能帮助的或许只能有这些。天无绝人之路，Chengming和Joe都在想办法帮助他，如果后期有困难，我也会伸出援手。但现在，应该是时候提出暂且搬离了。按计划，明晚他将离开。每每想到和他一样许多人因为找房而焦头烂额，我心里除了感到幸运，还觉得应多行好事。Brian在的这一周我分文未取，只能希望他后续顺利吧。

goodnight","N","","","","","0","0","2022-10-03T22:17:02+0000","","-16","Europe/Zurich","false","false",,,"list","180",""
"","日记","10月01+02日 周六+周日 中雨转多云 慕尼黑","NOTE","","早起吃了tent免费的早餐后就准备去啤酒节场地，一进了场地就被这里的氛围惊吓到:几乎所有人都有民族服装，几乎所有人都嗨到不行，几乎所有人都十分友好。
我们很走运，有一位友善的意大利人帮我们找地方；
我们很走运，没钱预约，但一来就找到了位置并在帐篷中待了大约六小时；
我们很走运，每次我们在室内的时候就下雨，而一出来就是晴天。
在这六个小时里，我们唱了无数首歌，干了无数次杯。前所未有的放松与欢乐在这拥挤的大棚中、在独特的小麦酒精的催化下、在许多脍炙人口的歌声里产生了。每次“Ein Procsite”歌声响起，大家的精神又被重新振奋，即使离开帐篷也会在人脑中回响。
不过同桌碰到一位美国当过兵的老人，明显是种族主义者。说我是来自中国的间谍，Suyeon的韩国人吃了他的狗，不但评论Isabel，还Fuck Biden。不过明显这种人只会在啤酒节大家当做笑话讨论，绝大多数人都友善平等。
下午出来啤酒节帐篷后，即使尝试进入其他帐篷，也因为人多进不去了。吃了一个5欧元的热狗，在啤酒节场地中走了一圈。热心Spread this please, our consigliere🫡的意大利小哥想通过朋友带我们进去也没有成功，当时我心想，如此熟门熟路的“军师 consigliere”都没有办法，那也的确是心甘情愿做其他选择了。
出来后我们在市中心走了一圈，吃了一个6.8欧的三明治（很大很实惠，第一次感觉吃三明治吃不完）——这段时间的遗憾是没有跑到亚超去买打折商品。
晚上回到帐篷，我们挤在帐篷里面聊天，说到了很多有趣的事。比如Isabel其实对性没有感觉，之前两次恋爱都是因为亲热问题而产生瑕疵；Peppe不仅是我们中睡过女生最多的，还是睡过最老的；一位加拿大女生不仅在机场的厕所里，还在湖中间的船上和牛棚中sex过——另一位加拿大女生在车里面sex被朋友裸体发现，也就不足为奇了…
之后我们到了帐篷场地前的酒吧，简易但同样很嗨。巴西女生有了音乐和酒后就兴奋不已——今天早上据说就是他的帐篷在sex还打扰到了别人，看来今晚再找一个人sex也不难。但酒吧中我也见到了比较内敛的韩国和日本女生。加上晚上的啤酒，周六一整天我已经喝了4L，但其他人喝的量却更多：Mikle喝了超过6L，已经不太清醒，在酒吧里站上桌子人往后倒，幸亏大家保护好了他；Edison已经不知是醉是醒；Benjamin过来的时候我们都惊讶他还或者，他自己都不知道自己是怎么回来的，只是手里还是拿着装着黑色威士忌的可乐瓶；Carlo手里已经没电关机还在啤酒节帐篷中跟德国人喝酒，因为德国人不断买酒给他们，他们自己只付了22欧，最终还是靠问路才回去。虽然下雨但帐篷的体验也不差，周六晚是一个熟睡的夜晚。
周日上午我自己去慕尼黑市中心转了一圈，收获很多。这次旅行给我最大的启发就是：可以结伴而行但一定要有自己的计划。偶尔分开一下并没有什么不好，反倒是一人行更有效率和执行力。现在的我已经在回苏黎世的大巴上享受沿途德国、奥地利和瑞士的乡村美景——雨后的晴天更蓝。周日接下来的计划是去SBB办交通年卡、去拿二手饭盒、做饭和做周一要交的computational art作业。愿：不得covid！","N","","","","","0","0","2022-10-02T00:57:27+0000","","-15","Europe/Zurich","false","false",,,"list","181",""
"","日记","09月30日 周五 晴 苏黎世 + 晴 慕尼黑","NOTE","","上午：学习，因为Jerry不来的事焦头烂额找人顶替（实际上也并没有找到）。听digial design workshop,被Yael警告不要玩手机。

中午：workshop直到13点才结束。吃自己热的便当，请Etienne帮我打电话问tent的事。当时觉得同行的室友只顾着自己玩了，其实大家都没计划，什么还是得自己来。

下午：帮Etienne看代码，一行一行的教他，直到四点半。尽管很多事情都安排好了，离开的时候还是有点担心和失落，或许我就是这样一个不太想自己计划被打乱的人吧，不过Jerry不来我也不能强求。不过其实路上一路顺利，坐公交找到站台，坐上巴士，都很顺利。一路上除了跟小陈视频还睡了一觉。

晚上：到了慕尼黑就直接去tent了，并没有如原计划一般直接跳进啤酒节场地。到了tent遇到Edison才知道，他们的汽车是延迟了一小时，而且找tent找了很久，并没有比我多来多久，我也没有错过什么。这样一想一个人的旅行其实还挺正确和顺利的。因为是一个人，所以巴士一侧可以舒适的放上书包，晚上的帐篷也非常的温暖，因为能用两套被子和垫子。晚上一群人喝醉酒在帐篷里此起彼伏的学牛叫，十分恼人，带上降噪耳机才能睡着。goodnight","N","","","","","0","0","2022-10-01T07:43:52+0000","","-14","Europe/Zurich","false","false",,,"list","182",""
"","日记","09月30日 周四 小雨 苏黎世","NOTE","","上午：上课，各自准备自己的Computational Art。我主要是在心不在焉的想CS送的充电宝和我交房租的事。比较低效的到了中午。

中午：吃自己做的便当。一点钟和班上同学一起Library Tour,也被教会了如何使用数字资源。在这方面资源ETH的确比武大多，但有很多德文资源我理解困难。

下午：继续做Computational Art, 四点多钟跟小陈视频就离开了教室。

晚上：做饭，和室友商量去慕尼黑行程，整理行李，做了一点慕尼黑攻略。希望周末一切顺利，玩得开心。

goodnight","N","","","","","0","0","2022-09-29T22:07:04+0000","","-13","Europe/Berlin","true","false",,,"list","183",""
"","日记","09月28日 周三 小雨 苏黎世","NOTE","","上午：做了午饭和晚饭后，9：30到学校开始继续上课。上午的课没怎么听，在自己做coding。

中午：热自己做的便当。黄瓜炒蛋，葱油面配牛肉粒。食物储备即将耗光。

下午：继续上课，上台两次讲Coding，出尽风头。但其实flocking的算法之前有尝试过，反弹计算也是之前想过的问题。反倒是今天的tutor给人一种水平一般的感觉。大家各有长处，而现在正在教的正好是我的长处，也不知是好是坏。

晚上：热晚饭。带了点蓝莓，周六土超打折买的，2.-Fr，小的更甜大的酸。晚上学html和css到十一点才到家。主页部分完成了一半。



goodnight","N","","","","","0","0","2022-09-28T21:57:57+0000","","-12","Europe/Zurich","false","false",,,"list","184",""
"","日记","09月27日 周小雨转晴 苏黎世","NOTE","","上午：早上做饭，上午学习。听Fabio讲座，提了一个问题，虽然他的回答我并没有懂。还是无法清晰的发出Prof. Fabio这个词。

中午：吃自己做的意面，面多菜少了。

下午：学习。

晚上：自学html和css，感觉很有用，很容易上手且有成就感。



goodnight","N","","","","","0","0","2022-09-26T22:15:02+0000","","-11","Europe/Berlin","true","false",,,"list","185",""
"","日记","09月28日 周二 中雨 苏黎世","NOTE","","上午：UBS的refer补上，UBS access办理成功，ZKB办理成功，打HPV疫苗

中午：UZH食堂8.1Fr的午餐：一点牛肉土豆，一点胡萝卜，炸土豆块（方形的薯条罢了），一小碗酸酸怪怪的浓汤。

下午：上课，学Python。

晚上：学html和css，感觉掌握还算快。在asvz关门前运动，主要是肩部。最后卧推恢复到70kg四个（杆感觉较轻）。睡前完成工行境外汇款，转1000Fr到CS银行用于消费和交房租。汇费130多。



goodnight","N","","","","","0","0","2022-09-27T22:44:06+0000","","-10","Europe/Berlin","true","false",,,"list","186",""
"","日记","09月26日 周日 小雨转中雨 苏黎世","NOTE","","上午：Brian做早餐，煎蛋、土司、火腿。早上去学校学习。

中午：准备跟Brian去教堂蹭免费午饭，没想到并没有。遂回家做饭。午饭是炒饭、意面和生菜。

下午：学习，跟小陈视频，然后去Gym锻炼上肢。晚餐吃中午做的便当，意面。

晚上：学习到十一点回来，很满足。



goodnight","N","","","","","0","0","2022-09-25T22:16:34+0000","","-9","Europe/Berlin","true","false",,,"list","187",""
"","日记","09月24日 周六 小雨 苏黎世","NOTE","","上午：将Brian接过来，去土超买了13.65瑞法牛肉，16.30瑞法的主食蔬菜等，去Denner买了两包纸巾，1.7瑞法。去Coop买了打折牛奶4L4瑞法、香肠2.5瑞法。

中午：和Brian，波波一起吃饭，Brian的葱爆牛肉，我的蚝油生菜，波波的剩菜。

下午：理了个头发，20瑞法，只理发没有任何洗头和其他操作。ZurichOperaHouse的GuidedTour，10瑞法预购的，感觉很值，拍了很多照片。小小的古典的歌剧院，地下居然有四层。为了保护古建筑不惜向下挖掘。超高超大的电梯，舞台25m高，令人印象深刻。

晚上：土耳其餐厅，20瑞法其实很值，三个人吃得很饱。OperaHouse的灯光秀，雨中露天看完。帮Jan找Bug。



goodnight","N","","","","","0","0","2022-09-24T21:05:36+0000","","-8","Europe/Berlin","true","false",,,"list","188",""
"","日记","09月23日 周五 晴转小雨 苏黎世-德国 ","NOTE","","上午：Python课，Remy讲得很透彻深入。

中午：吃了前一天Coop买的肉桂面包和带有瓜子的苹果派，临期半价食品当然算不上美味，但至少填了下肚子。

下午：在Coding了一些内容后，准备上车到德国。

晚上：一路上走了大约4小时，经过边境没有被查护照，一路上除了美丽的乡村风景就是密集的建筑大师作品。到了博物馆，大师作品尤其密集。除了扎哈第一个落地作品，消防站，安藤，盖里也都看到了，展览一般，但主题不错。蚂蚁机器人令人印象深刻，尤其是裸露在不规则表皮上的元件、芯片和线路。回来已经十一二点了。

goodnight","N","","","","","0","0","2022-09-23T22:15:53+0000","","-7","Europe/Berlin","true","false",,,"list","189",""
"","日记","09月22日 周日 晴 苏黎世","NOTE","","上午：上课，Patrus的python课。

中午：吃自己做的面条，煎蛋，香肠，蔬菜

下午：上课，做旗帜，我做了一个可以用trigger随风飘动的旗帜和中国国旗。

晚上：做饭，去找超瑜学姐拿显示器，学姐人很好，作为交换还欠他一杯奶茶。轮值到我打扫全寝室卫生。激活Credit Suisse卡（比UBS简单太多，UBS简直麻烦到让人放弃）。深夜还跟爸爸视频了近半个小时。

goodnight","N","","","","","0","0","2022-09-22T22:48:53+0000","","-6","Europe/Zurich","false","false",,,"list","190",""
"","日记","09月13日 周二 晴 苏黎世","NOTE","","9月13日 周二 苏黎世 晴



来到苏黎世的第一篇日记，写在VSCode的.md文件上，因为人生的第一本日记本已经写完，而第二本日记本尚未找到。来到瑞士已经两个礼拜，时间因忙碌和快乐变得飞快。而在这里的两个月，却比国内重复单调的两年更为丰富多彩。

在这里，我学会了淘寻二手物品，从而在物价第一的城市中生存；

在这里，我学会了买公交月票，从而借助‘不需要投票的公车’探索城市；

在这里，我学会了垃圾分类，从而降低昂贵垃圾袋使用；

在这里，我学会了办理瑞士的银行卡，把钱存在世界上最安全的银行；

在这里，我学会了和不同国家的朋友社交，感受他们的世界观。

